"PERIODO","NRC","MODO_CALIFICAR","SECUENCIA","LISTA_CRUZADA","ALFA","NUM","ESTADO_NRC","TITULO","CREDITO","INTENSIDAD_HORARIA","RECTORIA","DESC_RECTORIA","SEDE","DESC_SEDE","FACULTAD_RESPONSABLE","DEPARTAMENTO_RESPONSABLE","CUPO","INSCRITOS","SALDO","ID_DOCENTE","IDENTIFICACION","NOMBRE_DOCENTE","PARTE_PERIODO","EDIFICIO","SALON","FECHA_INICIAL_1","FECHA_FINAL_1","HI","HF","L","M","I","J","V","S","D","TIPO_HORARIO","METODO_EDUCATIVO","RESTRICCION_SEDE"
202612,1111,S,1,,ETDH,1001,Activo,"Cátedra Minuto de Dios",2,58,RCS,"R CENTRO SUR",IBA,"CU IBAGUE","Ins Form para el Trabajo y Des",,30,0,30,,,"  ",RYC,VIRTU,,02/09/2026,06/07/2026,,,,,,,,,,TPR,DIST,
202612,1112,S,1,,ETDH,1006,Activo,"Comunicación y Servicio",2,58,RCS,"R CENTRO SUR",IBA,"CU IBAGUE","Proy Formación Para el Empleo",,30,0,30,,,"  ",RYC,VIRTU,,02/09/2026,06/07/2026,2000,2145,,T,,,,,,TEO,TRAD,
202612,1113,S,1,,TLGA,1100,Activo,"Reg de Infor Contable y Nomina",2,58,RCS,"R CENTRO SUR",IBA,"CU IBAGUE","Ins Form para el Trabajo y Des","TL COMP GESTION ADMINISTRATIVA",30,0,30,,,"  ",RYC,VIRTU,,02/09/2026,06/07/2026,1800,1959,,,W,,,,,TEO,TRAD,
202612,1114,S,1,,TLGA,1110,Activo,"Control de Inventarios",2,38,RCS,"R CENTRO SUR",IBA,"CU IBAGUE","Ins Form para el Trabajo y Des","TL COMP GESTION ADMINISTRATIVA",30,0,30,,,"  ",RYC,VIRTU,,02/09/2026,06/07/2026,2000,2145,,,W,,,,,TEO,TRAD,
202612,1115,S,1,,ETDH,1005,Activo,"Gest Básica de la Información",2,58,RCS,"R CENTRO SUR",IBA,"CU IBAGUE","Ins Form para el Trabajo y Des",,30,0,30,,,"  ",RYC,VIRTU,,02/09/2026,06/07/2026,1800,1959,,,,R,,,,TEO,TRAD,
202612,1116,S,1,,ETDH,1009,Activo,"Proyecto de Vida",2,58,RCS,"R CENTRO SUR",IBA,"CU IBAGUE","Ins Form para el Trabajo y Des",,30,0,30,,,"  ",RYC,VIRTU,,02/09/2026,06/07/2026,1800,1959,,T,,,,,,TEO,TRAD,
202612,1117,S,1,,INGL,1011,Activo,"Inglés I",1,19,RCS,"R CENTRO SUR",IBA,"CU IBAGUE","Centro de Idiomas Ac Rochereau","Centro de Idiomas Rocherau",30,0,30,,,"  ",RYC,VIRTU,,02/09/2026,06/07/2026,2000,2145,,,,R,,,,TEO,TRAD,
202612,1118,S,1,,TLMM,1050,Activo,"Mantenimiento Preventivo",4,10,RCS,"R CENTRO SUR",IBA,"CU IBAGUE","Ins Form para el Trabajo y Des","TL COMP MANTENIMIENTO MOTOS",30,0,30,,,"  ",RYC,VIRTU,,02/09/2026,06/07/2026,1800,2145,,,W,,,,,TEO,TRAD,
202612,1119,S,1,,TLMM,1060,Activo,Normatividad,1,2,RCS,"R CENTRO SUR",IBA,"CU IBAGUE","Ins Form para el Trabajo y Des","TL COMP MANTENIMIENTO MOTOS",30,0,30,,,"  ",RYC,VIRTU,,02/09/2026,06/07/2026,1800,1959,,T,,,,,,TEO,TRAD,
202612,1120,S,1,,VTMM,1019,Activo,"Inglés I",2,5,RCS,"R CENTRO SUR",IBA,"CU IBAGUE","Vicerrectoria Academica",,30,0,30,,,"  ",RYC,VIRTU,,02/09/2026,06/07/2026,2000,2145,,T,,,,,,TEO,TRAD,
202612,1121,S,1,,VTMM,1017,Activo,"Proyecto de Vida",2,5,RCS,"R CENTRO SUR",IBA,"CU IBAGUE","Vicerrectoria Academica",,30,0,30,,,"  ",RYC,VIRTU,,02/09/2026,06/07/2026,1800,1959,,,,R,,,,TEO,TRAD,
202612,1122,S,1,,VTMM,1011,Activo,"Inglés II",1,3,RCS,"R CENTRO SUR",IBA,"CU IBAGUE","Vicerrectoria Academica",,30,0,30,,,"  ",RYC,VIRTU,,02/09/2026,06/07/2026,1000,1244,,,W,,,,,TEO,TRAD,IBA
202612,1123,S,1,,TLMM,1080,Activo,"Procedimientos Técnicos",1,2,RCS,"R CENTRO SUR",IBA,"CU IBAGUE","Ins Form para el Trabajo y Des","TL COMP MANTENIMIENTO MOTOS",30,0,30,,,"  ",RYC,VIRTU,,02/09/2026,06/07/2026,2000,2145,,T,,,,,,TEO,TRAD,IBA
202612,1124,S,1,,TLMM,1070,Activo,"Mantenimiento Correctivo",4,10,RCS,"R CENTRO SUR",IBA,"CU IBAGUE","Ins Form para el Trabajo y Des","TL COMP MANTENIMIENTO MOTOS",30,0,30,,,"  ",RYC,VIRTU,,02/09/2026,06/07/2026,1800,2145,M,,,,,,,TEO,TRAD,
202612,1125,S,1,,TLMM,1090,Activo,Prácticas,17,0,RCS,"R CENTRO SUR",IBA,"CU IBAGUE","Ins Form para el Trabajo y Des","TL COMP MANTENIMIENTO MOTOS",30,0,30,,,"  ",RYC,VIRTU,,02/09/2026,06/07/2026,1800,1959,,,,R,,,,TEO,TRAD,IBA
202612,1126,S,1,,VTMM,1018,Activo,Emprendimiento,2,5,RCS,"R CENTRO SUR",IBA,"CU IBAGUE","Vicerrectoria Academica",,30,0,30,,,"  ",RYC,VIRTU,,02/09/2026,06/07/2026,2000,2145,,,,,F,,,TEO,TRAD,IBA
202612,1127,S,1,,TLSS,2030,Activo,"Normatividad Ssgt",3,8,RCS,"R CENTRO SUR",CPB,"CU PUERTO BOYACA","Ins Form para el Trabajo y Des","TL Comp Segurid Salud Trabajo",30,0,30,,,"  ",RYC,VIRTU,,02/09/2026,06/07/2026,0700,0829,,,,,,,U,TEO,TRAD,
202612,1128,S,1,,TLSS,2040,Activo,"Gestión del Riesgo de Desastre",3,8,RCS,"R CENTRO SUR",CPB,"CU PUERTO BOYACA","Ins Form para el Trabajo y Des","TL Comp Segurid Salud Trabajo",30,0,30,,,"  ",RYC,VIRTU,,02/09/2026,06/07/2026,0830,0959,,,,,,,U,TEO,TRAD,
202612,1129,S,1,,VTMM,1017,Activo,"Proyecto de Vida",2,5,RCS,"R CENTRO SUR",CPB,"CU PUERTO BOYACA","Vicerrectoria Academica",,30,0,30,,,"  ",RYC,VIRTU,,02/09/2026,06/07/2026,1000,1129,,,,,,,U,TEO,TRAD,
202612,1130,S,1,,VTMM,1019,Activo,"Inglés I",2,5,RCS,"R CENTRO SUR",CPB,"CU PUERTO BOYACA","Vicerrectoria Academica",,30,0,30,,,"  ",RYC,VIRTU,,02/09/2026,06/07/2026,,,,,,,,,,TEO,TRAD,
202612,1131,S,1,,VTMM,1018,Activo,Emprendimiento,2,5,RCS,"R CENTRO SUR",CPB,"CU PUERTO BOYACA","Vicerrectoria Academica",,30,0,30,,,"  ",RYC,VIRTU,,02/09/2026,06/07/2026,1130,1300,,,,,,,U,TEO,TRAD,
